[00:01:10] [Server thread/INFO]: firephoenix749 issued server command: /trigger tpa set 6
[00:01:10] [Server thread/INFO]: [firephoenix749: Triggered [tpa] (set value to 6)]
[00:01:25] [Server thread/INFO]: firephoenix749 issued server command: /trigger home set 15
[00:01:25] [Server thread/INFO]: [firephoenix749: Triggered [Home] (set value to 15)]
[00:14:27] [Server thread/INFO]: Villager EntityVillager['Villager'/8797, l='ServerLevel[creative]', x=118.49, y=57.00, z=-390.56] died, message: 'Villager hit the ground too hard'
[00:33:27] [Server thread/INFO]: firephoenix749 has made the advancement [Spooky Scary Skeleton]
[00:33:47] [Server thread/INFO]: firephoenix749 has made the advancement [Withering Heights]
[00:42:20] [Server thread/INFO]: Villager EntityVillager['Villager'/14283, l='ServerLevel[creative]', x=118.51, y=57.00, z=-391.29] died, message: 'Villager hit the ground too hard'
[00:43:08] [Server thread/INFO]: JAMtime_ lost connection: Disconnected
[00:43:08] [Server thread/INFO]: JAMtime_ left the game
[00:43:34] [Server thread/INFO]: firephoenix749 lost connection: Disconnected
[00:43:34] [Server thread/INFO]: firephoenix749 left the game
[00:59:05] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: Input/output error
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:276) ~[?:?]
	at java.io.BufferedInputStream.fill(BufferedInputStream.java:244) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:263) ~[?:?]
	at jline.internal.NonBlockingInputStream.read(NonBlockingInputStream.java:169) ~[jline-2.12.1.jar:?]
	at jline.internal.NonBlockingInputStream.read(NonBlockingInputStream.java:137) ~[jline-2.12.1.jar:?]
	at jline.internal.NonBlockingInputStream.read(NonBlockingInputStream.java:246) ~[jline-2.12.1.jar:?]
	at jline.internal.InputStreamReader.read(InputStreamReader.java:261) ~[jline-2.12.1.jar:?]
	at jline.internal.InputStreamReader.read(InputStreamReader.java:198) ~[jline-2.12.1.jar:?]
	at jline.console.ConsoleReader.readCharacter(ConsoleReader.java:2145) ~[jline-2.12.1.jar:?]
	at jline.console.ConsoleReader.readLine(ConsoleReader.java:2349) ~[jline-2.12.1.jar:?]
	at net.minecraft.server.dedicated.DedicatedServer$1.run(DedicatedServer.java:117) ~[spigot-1.20.1-R0.1-SNAPSHOT.jar:3857-Spigot-94e187b-8ef7afe]
